City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Kitob,UZ,39.0843,66.8332,55.24,25,0,5.46,clear sky
184,Sisimiut,GL,66.9395,-53.6735,29.8,89,47,7.25,light snow
185,Mar Del Plata,AR,-38.0023,-57.5575,59.02,89,0,12.66,clear sky
186,Waynesville,US,35.4887,-82.9887,65.86,53,1,1.01,clear sky
187,Tucuma,BR,-0.1833,-50.05,80.04,73,7,10.45,clear sky
188,Bud,US,39.447,-86.1758,75.67,41,77,2.19,broken clouds
189,Oistins,BB,13.0667,-59.5333,78.89,89,75,16.11,broken clouds
190,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,89,48,9.84,scattered clouds
191,Strezhevoy,RU,60.7333,77.5889,32.41,82,71,3.85,broken clouds
192,Maragogi,BR,-9.0122,-35.2225,76.23,88,14,7.96,few clouds
193,Serta,PT,39.8085,-8.0988,62.94,60,3,4.54,clear sky
194,Upernavik,GL,72.7868,-56.1549,18.52,82,60,4.05,broken clouds
195,San Ramon,US,37.7799,-121.978,91.47,43,0,5.75,clear sky
196,Altamira,BR,-3.2033,-52.2064,84.22,45,75,4.29,broken clouds
197,Castro,BR,-24.7911,-50.0119,63.16,87,100,6.6,light rain
198,Vila Do Maio,CV,15.1333,-23.2167,81.39,83,11,12.01,few clouds
199,Sao Felix Do Xingu,BR,-6.6447,-51.995,89.2,29,82,1.5,broken clouds
200,Tiznit,MA,29.5833,-9.5,71.73,52,34,0.81,scattered clouds
201,Yining,CN,29.0361,114.5636,57.25,86,100,2.46,overcast clouds
202,Willowmore,ZA,-33.2926,23.4895,54.52,78,70,2.93,broken clouds
203,Izhma,RU,65.0083,53.9113,43.0,93,100,5.73,light rain
204,Plouzane,FR,48.3833,-4.6167,55.45,88,20,8.05,few clouds
205,Kathmandu,NP,27.7167,85.3167,66.42,94,75,0.0,broken clouds
206,Pimentel,PE,-6.8367,-79.9342,64.69,68,0,23.02,clear sky
207,Gola Bazar,IN,26.3431,83.3553,71.44,96,100,12.73,moderate rain
208,Ilo,PE,-17.6394,-71.3375,60.57,75,7,9.71,clear sky
209,Amapa,BR,1.0,-52.0,82.89,50,83,6.06,broken clouds
210,Road Town,VG,18.4167,-64.6167,84.29,79,40,8.05,scattered clouds
211,Ovalle,CL,-30.5983,-71.2003,60.1,62,42,4.12,scattered clouds
212,Kisangani,CD,0.5167,25.2,68.9,98,100,2.84,light rain
213,Yar-Sale,RU,66.8333,70.8333,32.45,91,38,10.22,scattered clouds
214,Olafsvik,IS,64.8945,-23.7142,44.47,70,100,10.18,overcast clouds
215,Bonfim,BR,3.0833,-59.95,84.06,63,100,6.98,overcast clouds
216,Carnarvon,AU,-24.8667,113.6333,61.9,56,20,23.29,few clouds
217,Malanje,AO,-9.5402,16.341,65.75,83,100,1.74,overcast clouds
218,Goderich,CA,43.7501,-81.7165,66.52,59,57,3.44,broken clouds
219,Mecca,SA,21.4267,39.8261,84.15,34,0,5.06,clear sky
220,Nanortalik,GL,60.1432,-45.2371,37.47,86,66,15.64,broken clouds
221,San Jose,US,37.3394,-121.895,92.7,45,0,8.05,clear sky
